Batting,,R,B,M,4s,6s,SR
Rovman Powell (c),c sub (Nangeyalia Kharote) b Gulbadin Naib,26,15,28,1,2,173.33
Andre Russell,not out,3,3,9,0,0,100
Sherfane Rutherford,not out,1,1,1,0,0,100
Rahmanullah Gurbaz †,c Russell b Hosein,0,3,1,0,0,0
Ibrahim Zadran,c Charles b McCoy,38,28,34,5,1,135.71
Gulbadin Naib,lbw b Motie,7,10,26,1,0,70
Azmatullah Omarzai,c Powell b Hosein,23,19,26,1,1,121.05
Najibullah Zadran,c Charles b McCoy,0,2,1,0,0,0
Mohammad Nabi,b McCoy,1,4,4,0,0,25
Karim Janat,run out (King/Hosein),14,9,14,0,1,155.55
Rashid Khan (c),c Powell b Russell,18,11,18,2,1,163.63
Noor Ahmad,c Rutherford b Motie,2,4,6,0,0,50
Naveen-ul-Haq,c †Pooran b Joseph,4,6,5,1,0,66.66
Fazalhaq Farooqi,not out,0,2,3,0,0,0
Tony Ura,c Phillips b Southee,1,2,6,0,0,50
Assad Vala (c),c Mitchell b Ferguson,6,16,19,1,0,37.5
Charles Amini,lbw b Ferguson,17,25,40,2,0,68
Sese Bau,c Allen b Santner,12,27,32,1,0,44.44
Hiri Hiri,b Boult,7,11,16,1,0,63.63
Chad Soper,b Ferguson,1,6,4,0,0,16.66
Kiplin Doriga †,b Southee,5,7,14,1,0,71.42
Norman Vanua,c Mitchell b Boult,14,13,15,1,1,107.69
Alei Nao,c Mitchell b Sodhi,3,7,14,0,0,42.85
Kabua Morea,st †Conway b Sodhi,0,3,3,0,0,0
Semo Kamea,not out,1,1,1,0,0,100
Finn Allen,c †Doriga b Morea,0,2,3,0,0,0
Devon Conway †,lbw b Kamea,35,32,45,2,3,109.37
Rachin Ravindra,c Kamea b Morea,6,11,15,0,0,54.54
Kane Williamson (c),not out,18,17,38,2,0,105.88
Daryl Mitchell,not out,19,12,13,3,0,158.33
Pathum Nissanka,c Engelbrecht b Kingma,0,2,2,0,0,0
Kusal Mendis †,c Engelbrecht b Dutt,46,29,49,5,0,158.62
Kamindu Mendis,c van Beek b van Meekeren,17,20,24,1,1,85
Dhananjaya de Silva,c de Leede b Pringle,34,26,38,3,1,130.76
Charith Asalanka,c de Leede b van Beek,46,21,31,1,5,219.04
Angelo Mathews,not out,30,15,27,1,2,200
Dasun Shanaka,c †Edwards b van Beek,0,1,1,0,0,0
Wanindu Hasaranga (c),not out,20,6,10,1,2,333.33
Michael Levitt,st †BKG Mendis b Theekshana,31,23,25,2,3,134.78
Max O'Dowd,c PHKD Mendis b Thushara,11,8,20,0,1,137.5
Vikramjit Singh,c PHKD Mendis b Shanaka,7,10,12,0,0,70
Sybrand Engelbrecht,c Asalanka b Pathirana,11,9,12,0,1,122.22
Scott Edwards (c)†,c Theekshana b Thushara,31,24,40,2,1,129.16
Bas de Leede,c Asalanka b Hasaranga,3,5,4,0,0,60
Logan van Beek,run out (†BKG Mendis),0,1,1,0,0,0
Tim Pringle,st †BKG Mendis b Hasaranga,2,4,7,0,0,50
Aryan Dutt,b Pathirana,10,8,11,1,0,125
Paul van Meekeren,lbw b Thushara,3,8,11,0,0,37.5
Vivian Kingma,not out,1,1,2,0,0,100
Tanzid Hasan,c & b Sompal Kami,0,1,-,0,0,0
Litton Das †,c †Aasif Sheikh b Sompal Kami,10,12,-,1,0,83.33
Najmul Hossain Shanto (c),b Airee,4,5,-,0,0,80
Shakib Al Hasan,lbw b Paudel,17,22,-,2,0,77.27
Towhid Hridoy,c Lamichhane b Paudel,9,7,-,2,0,128.57
Mahmudullah,run out (Gulsan Jha/Lamichhane),13,13,-,2,0,100
Jaker Ali,b Lamichhane,12,26,-,0,0,46.15
Tanzim Hasan Sakib,b Lamichhane,3,5,-,0,0,60
Rishad Hossain,c Sah b Airee,13,7,-,1,1,185.71
Taskin Ahmed,not out,12,15,-,2,0,80
Mustafizur Rahman,run out (Paudel/Airee),3,4,-,0,0,75
Kushal Bhurtel,b Tanzim Hasan Sakib,4,8,11,1,0,50
Aasif Sheikh †,c Shakib Al Hasan b Mustafizur Rahman,17,14,29,4,0,121.42
Anil Sah,c Najmul Hossain Shanto b Tanzim Hasan Sakib,0,2,2,0,0,0
Rohit Paudel (c),c Rishad Hossain b Tanzim Hasan Sakib,1,6,8,0,0,16.66
Sundeep Jora,c Rishad Hossain b Tanzim Hasan Sakib,1,8,13,0,0,12.5
Kushal Malla,c Najmul Hossain Shanto b Mustafizur Rahman,27,40,48,1,1,67.5
Dipendra Singh Airee,c †Litton Das b Mustafizur Rahman,25,31,52,2,1,80.64
Gulsan Jha,c Towhid Hridoy b Taskin Ahmed,0,4,5,0,0,0
Sompal Kami,st †Litton Das b Shakib Al Hasan,0,2,6,0,0,0
Sandeep Lamichhane,not out,0,0,3,0,0,-
Abinash Bohara,lbw b Shakib Al Hasan,0,1,1,0,0,0
Andy Balbirnie,b Shaheen Shah Afridi,0,3,2,0,0,0
Paul Stirling (c),c †Mohammad Rizwan b Mohammad Amir,1,2,11,0,0,50
Lorcan Tucker †,c †Mohammad Rizwan b Shaheen Shah Afridi,2,2,1,0,0,100
Harry Tector,lbw b Shaheen Shah Afridi,0,6,15,0,0,0
Curtis Campher,c Saim Ayub b Haris Rauf,7,14,26,1,0,50
George Dockrell,c & b Mohammad Amir,11,10,11,2,0,110
Gareth Delany,c Shadab Khan b Imad Wasim,31,19,30,1,3,163.15
Mark Adair,c Shaheen Shah Afridi b Imad Wasim,15,19,34,2,0,78.94
Barry McCarthy,b Imad Wasim,2,7,12,0,0,28.57
Josh Little,not out,22,18,26,2,1,122.22
